Connecting to console on VM mirageIperfClient. Press Ctrl + ']' to quit.
Setting up iperf client on interface 0
I have IP 192.168.8.102, trying to connect to 192.168.8.101 :5001 
Iperf client: Attempting connection. 
ARP: transmitting probe -> 192.168.8.101
ARP: updating 192.168.8.101 -> 4e:da:e3:99:3e:89
Iperf client: Made connection to server. 
Time=0.000998, Delay=0.000003, Op=TX, Kind=SEG, details=[466523748 452893865] 
Time=0.001000, Delay=0.000002, Op=TX, Kind=SEG, details=[466525207 452893865] 
Time=0.001002, Delay=0.000001, Op=TX, Kind=SEG, details=[466526666 452893865] 
Time=0.001007, Delay=0.000004, Op=TX, Kind=SEG, details=[466528125 452893865] 
Time=0.001011, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466510617] 
Time=0.001012, Delay=0.000000, Op=WND, Kind=UPD, details=[466529584 466510617 466507699 452893865 0 262140 262140 21900 262140 0 466434749] 
Time=0.001012, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466516453] 
Time=0.001013, Delay=0.000000, Op=WND, Kind=UPD, details=[466529584 466516453 466507699 452893865 0 262140 262140 21900 262140 0 466434749] 
Time=0.001020, Delay=0.000003, Op=TX, Kind=SEG, details=[466529584 452893865] 
Time=0.001022, Delay=0.000002, Op=TX, Kind=SEG, details=[466531043 452893865] 
Time=0.001025, Delay=0.000003, Op=TX, Kind=SEG, details=[466532502 452893865] 
Time=0.001027, Delay=0.000001, Op=TX, Kind=SEG, details=[466533961 452893865] 
Time=0.001030, Delay=0.000002, Op=TX, Kind=SEG, details=[466535420 452893865] 
Time=0.001032, Delay=0.000002, Op=TX, Kind=SEG, details=[466536879 452893865] 
Time=0.001035, Delay=0.000003, Op=TX, Kind=SEG, details=[466538338 452893865] 
Time=0.001040, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466519371] 
Time=0.001041, Delay=0.000000, Op=WND, Kind=UPD, details=[466539797 466519371 466516453 452893865 0 262140 262140 23360 262140 0 466434749] 
Time=0.001042, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466523748] 
Time=0.001042, Delay=0.000000, Op=WND, Kind=UPD, details=[466539797 466523748 466516453 452893865 0 262140 262140 23360 262140 0 466434749] 
Time=0.001046, Delay=0.000003, Op=TX, Kind=SEG, details=[466539797 452893865] 
Time=0.001049, Delay=0.000002, Op=TX, Kind=SEG, details=[466541256 452893865] 
Time=0.001051, Delay=0.000001, Op=TX, Kind=SEG, details=[466542715 452893865] 
Time=0.001054, Delay=0.000002, Op=TX, Kind=SEG, details=[466544174 452893865] 
Time=0.001056, Delay=0.000001, Op=TX, Kind=SEG, details=[466545633 452893865] 
Time=0.001061, Delay=0.000004, Op=TX, Kind=SEG, details=[466547092 452893865] 
Time=0.001066, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466526666] 
Time=0.001066, Delay=0.000000, Op=WND, Kind=UPD, details=[466548551 466526666 466523748 452893865 0 262140 262140 24820 262140 0 466434749] 
Time=0.001067, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466529584] 
Time=0.001067, Delay=0.000000, Op=WND, Kind=UPD, details=[466548551 466529584 466523748 452893865 0 262140 262140 24820 262140 0 466434749] 
Time=0.001075, Delay=0.000003, Op=TX, Kind=SEG, details=[466548551 452893865] 
Time=0.001078, Delay=0.000003, Op=TX, Kind=SEG, details=[466550010 452893865] 
Time=0.001080, Delay=0.000002, Op=TX, Kind=SEG, details=[466551469 452893865] 
Time=0.001083, Delay=0.000002, Op=TX, Kind=SEG, details=[466552928 452893865] 
Time=0.001085, Delay=0.000002, Op=TX, Kind=SEG, details=[466554387 452893865] 
Time=0.001091, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466532502] 
Time=0.001091, Delay=0.000000, Op=WND, Kind=UPD, details=[466555846 466532502 466529584 452893865 0 262140 262140 26280 262140 0 466434749] 
Time=0.001099, Delay=0.000003, Op=TX, Kind=SEG, details=[466555846 452893865] 
Time=0.001102, Delay=0.000001, Op=TX, Kind=SEG, details=[466557305 452893865] 
Time=0.001105, Delay=0.000003, Op=TX, Kind=SEG, details=[466558764 452893865] 
Time=0.001109, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466538338] 
Time=0.001110, Delay=0.000000, Op=WND, Kind=UPD, details=[466560223 466538338 466532502 452893865 0 262140 262140 27740 262140 0 466434749] 
Time=0.001116, Delay=0.000003, Op=TX, Kind=SEG, details=[466560223 452893865] 
Time=0.001118, Delay=0.000002, Op=TX, Kind=SEG, details=[466561682 452893865] 
Time=0.001123, Delay=0.000004, Op=TX, Kind=SEG, details=[466563141 452893865] 
Time=0.001126, Delay=0.000002, Op=TX, Kind=SEG, details=[466564600 452893865] 
Time=0.001128, Delay=0.000002, Op=TX, Kind=SEG, details=[466566059 452893865] 
Time=0.001133, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466544174] 
Time=0.001133, Delay=0.000000, Op=WND, Kind=UPD, details=[466567518 466544174 466538338 452893865 0 262140 262140 29200 262140 0 466434749] 
Time=0.001134, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466548551] 
Time=0.001134, Delay=0.000000, Op=WND, Kind=UPD, details=[466567518 466548551 466538338 452893865 0 262140 262140 29200 262140 0 466434749] 
Time=0.001141, Delay=0.000004, Op=TX, Kind=SEG, details=[466567518 452893865] 
Time=0.001143, Delay=0.000001, Op=TX, Kind=SEG, details=[466568977 452893865] 
Time=0.001146, Delay=0.000002, Op=TX, Kind=SEG, details=[466570436 452893865] 
Time=0.001148, Delay=0.000002, Op=TX, Kind=SEG, details=[466571895 452893865] 
Time=0.001152, Delay=0.000003, Op=TX, Kind=SEG, details=[466573354 452893865] 
Time=0.001154, Delay=0.000002, Op=TX, Kind=SEG, details=[466574813 452893865] 
Time=0.001157, Delay=0.000002, Op=TX, Kind=SEG, details=[466576272 452893865] 
Time=0.001159, Delay=0.000002, Op=TX, Kind=SEG, details=[466577731 452893865] 
Time=0.001165, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466555846] 
Time=0.001165, Delay=0.000000, Op=WND, Kind=UPD, details=[466579190 466555846 466548551 452893865 0 262140 262140 30660 262140 0 466434749] 
Time=0.001166, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466563141] 
Time=0.001166, Delay=0.000000, Op=WND, Kind=UPD, details=[466579190 466563141 466548551 452893865 0 262140 262140 30660 262140 0 466434749] 
Time=0.001173, Delay=0.000003, Op=TX, Kind=SEG, details=[466579190 452893865] 
Time=0.001176, Delay=0.000001, Op=TX, Kind=SEG, details=[466580649 452893865] 
Time=0.001180, Delay=0.000004, Op=TX, Kind=SEG, details=[466582108 452893865] 
Time=0.001183, Delay=0.000002, Op=TX, Kind=SEG, details=[466583567 452893865] 
Time=0.001186, Delay=0.000003, Op=TX, Kind=SEG, details=[466585026 452893865] 
Time=0.001188, Delay=0.000002, Op=TX, Kind=SEG, details=[466586485 452893865] 
Time=0.001191, Delay=0.000002, Op=TX, Kind=SEG, details=[466587944 452893865] 
Time=0.001194, Delay=0.000002, Op=TX, Kind=SEG, details=[466589403 452893865] 
Time=0.001196, Delay=0.000002, Op=TX, Kind=SEG, details=[466590862 452893865] 
Time=0.001199, Delay=0.000002, Op=TX, Kind=SEG, details=[466592321 452893865] 
Time=0.001202, Delay=0.000003, Op=TX, Kind=SEG, details=[466593780 452893865] 
Time=0.001208, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466567518] 
Time=0.001209, Delay=0.000000, Op=WND, Kind=UPD, details=[466595239 466567518 466563141 452893865 0 262140 262140 32120 262140 0 466434749] 
Time=0.001209, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466571895] 
Time=0.001210, Delay=0.000000, Op=WND, Kind=UPD, details=[466595239 466571895 466563141 452893865 0 262140 262140 32120 262140 0 466434749] 
Time=0.001210, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466576272] 
Time=0.001219, Delay=0.000002, Op=TX, Kind=SEG, details=[466595239 452893865] 
Time=0.001223, Delay=0.000003, Op=TX, Kind=SEG, details=[466596698 452893865] 
Time=0.001225, Delay=0.000002, Op=TX, Kind=SEG, details=[466598157 452893865] 
Time=0.001225, Delay=0.000000, Op=WND, Kind=UPD, details=[466599616 466576272 466576272 452893865 0 262140 262140 33580 262140 0 466434749] 
Time=0.001228, Delay=0.000002, Op=TX, Kind=SEG, details=[466599616 452893865] 
Time=0.001231, Delay=0.000002, Op=TX, Kind=SEG, details=[466601075 452893865] 
Time=0.001235, Delay=0.000003, Op=TX, Kind=SEG, details=[466602534 452893865] 
Time=0.001238, Delay=0.000002, Op=TX, Kind=SEG, details=[466603993 452893865] 
Time=0.001240, Delay=0.000002, Op=TX, Kind=SEG, details=[466605452 452893865] 
Time=0.001242, Delay=0.000001, Op=TX, Kind=SEG, details=[466606911 452893865] 
Time=0.001246, Delay=0.000003, Op=TX, Kind=SEG, details=[466608370 452893865] 
Time=0.001252, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466579190] 
Time=0.001253, Delay=0.000000, Op=WND, Kind=UPD, details=[466609829 466579190 466576272 452893865 0 262140 262140 33580 262140 0 466434749] 
Time=0.001253, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466585026] 
Time=0.001254, Delay=0.000000, Op=WND, Kind=UPD, details=[466609829 466585026 466576272 452893865 0 262140 262140 33580 262140 0 466434749] 
Time=0.001265, Delay=0.000004, Op=TX, Kind=SEG, details=[466609829 452893865] 
Time=0.001268, Delay=0.000002, Op=TX, Kind=SEG, details=[466611288 452893865] 
Time=0.001271, Delay=0.000003, Op=TX, Kind=SEG, details=[466612747 452893865] 
Time=0.001273, Delay=0.000001, Op=TX, Kind=SEG, details=[466614206 452893865] 
Time=0.001277, Delay=0.000003, Op=TX, Kind=SEG, details=[466615665 452893865] 
Time=0.001279, Delay=0.000002, Op=TX, Kind=SEG, details=[466617124 452893865] 
Time=0.001282, Delay=0.000002, Op=TX, Kind=SEG, details=[466618583 452893865] 
Time=0.001289, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466587944] 
Time=0.001290, Delay=0.000000, Op=WND, Kind=UPD, details=[466620042 466587944 466585026 452893865 0 262140 262140 35040 262140 0 466434749] 
Time=0.001290, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466595239] 
Time=0.001291, Delay=0.000000, Op=WND, Kind=UPD, details=[466620042 466595239 466585026 452893865 0 262140 262140 35040 262140 0 466434749] 
Time=0.001291, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466601075] 
Time=0.001299, Delay=0.000003, Op=TX, Kind=SEG, details=[466620042 452893865] 
Time=0.001302, Delay=0.000003, Op=TX, Kind=SEG, details=[466621501 452893865] 
Time=0.001304, Delay=0.000002, Op=TX, Kind=SEG, details=[466622960 452893865] 
Time=0.001304, Delay=0.000000, Op=WND, Kind=UPD, details=[466624419 466601075 466601075 452893865 0 262140 262140 36500 262140 0 466434749] 
Time=0.001308, Delay=0.000003, Op=TX, Kind=SEG, details=[466624419 452893865] 
Time=0.001310, Delay=0.000002, Op=TX, Kind=SEG, details=[466625878 452893865] 
Time=0.001313, Delay=0.000002, Op=TX, Kind=SEG, details=[466627337 452893865] 
Time=0.001315, Delay=0.000002, Op=TX, Kind=SEG, details=[466628796 452893865] 
Time=0.001319, Delay=0.000003, Op=TX, Kind=SEG, details=[466630255 452893865] 
Time=0.001321, Delay=0.000002, Op=TX, Kind=SEG, details=[466631714 452893865] 
Time=0.001324, Delay=0.000003, Op=TX, Kind=SEG, details=[466633173 452893865] 
Time=0.001326, Delay=0.000002, Op=TX, Kind=SEG, details=[466634632 452893865] 
Time=0.001329, Delay=0.000002, Op=TX, Kind=SEG, details=[466636091 452893865] 
Time=0.001335, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466608370] 
Time=0.001336, Delay=0.000000, Op=WND, Kind=UPD, details=[466637550 466608370 466601075 452893865 0 262140 262140 36500 262140 0 466434749] 
Time=0.001337, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466614206] 
Time=0.001337, Delay=0.000000, Op=WND, Kind=UPD, details=[466637550 466614206 466601075 452893865 0 262140 262140 36500 262140 0 466434749] 
Time=0.001348, Delay=0.000005, Op=TX, Kind=SEG, details=[466637550 452893865] 
Time=0.001350, Delay=0.000002, Op=TX, Kind=SEG, details=[466639009 452893865] 
Time=0.001353, Delay=0.000002, Op=TX, Kind=SEG, details=[466640468 452893865] 
Time=0.001355, Delay=0.000001, Op=TX, Kind=SEG, details=[466641927 452893865] 
Time=0.001359, Delay=0.000003, Op=TX, Kind=SEG, details=[466643386 452893865] 
Time=0.001361, Delay=0.000002, Op=TX, Kind=SEG, details=[466644845 452893865] 
Time=0.001364, Delay=0.000002, Op=TX, Kind=SEG, details=[466646304 452893865] 
Time=0.001366, Delay=0.000002, Op=TX, Kind=SEG, details=[466647763 452893865] 
Time=0.001369, Delay=0.000003, Op=TX, Kind=SEG, details=[466649222 452893865] 
Time=0.001371, Delay=0.000001, Op=TX, Kind=SEG, details=[466650681 452893865] 
Time=0.001377, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466620042] 
Time=0.001378, Delay=0.000000, Op=WND, Kind=UPD, details=[466652140 466620042 466614206 452893865 0 262140 262140 37960 262140 0 466434749] 
Time=0.001379, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466622960] 
Time=0.001379, Delay=0.000000, Op=WND, Kind=UPD, details=[466652140 466622960 466614206 452893865 0 262140 262140 37960 262140 0 466434749] 
Time=0.001379, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466633173] 
Time=0.001389, Delay=0.000003, Op=TX, Kind=SEG, details=[466652140 452893865] 
Time=0.001392, Delay=0.000002, Op=TX, Kind=SEG, details=[466653599 452893865] 
Time=0.001394, Delay=0.000002, Op=TX, Kind=SEG, details=[466655058 452893865] 
Time=0.001395, Delay=0.000000, Op=WND, Kind=UPD, details=[466656517 466633173 466633173 452893865 0 262140 262140 39420 262140 0 466434749] 
Time=0.001397, Delay=0.000002, Op=TX, Kind=SEG, details=[466656517 452893865] 
Time=0.001405, Delay=0.000007, Op=TX, Kind=SEG, details=[466657976 452893865] 
Time=0.001407, Delay=0.000002, Op=TX, Kind=SEG, details=[466659435 452893865] 
Time=0.001410, Delay=0.000002, Op=TX, Kind=SEG, details=[466660894 452893865] 
Time=0.001412, Delay=0.000001, Op=TX, Kind=SEG, details=[466662353 452893865] 
Time=0.001416, Delay=0.000003, Op=TX, Kind=SEG, details=[466663812 452893865] 
Time=0.001418, Delay=0.000002, Op=TX, Kind=SEG, details=[466665271 452893865] 
Time=0.001421, Delay=0.000002, Op=TX, Kind=SEG, details=[466666730 452893865] 
Time=0.001424, Delay=0.000002, Op=TX, Kind=SEG, details=[466668189 452893865] 
Time=0.001428, Delay=0.000003, Op=TX, Kind=SEG, details=[466669648 452893865] 
Time=0.001431, Delay=0.000003, Op=TX, Kind=SEG, details=[466671107 452893865] 
Time=0.001438, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466637550] 
Time=0.001439, Delay=0.000000, Op=WND, Kind=UPD, details=[466672566 466637550 466633173 452893865 0 262140 262140 39420 262140 0 466434749] 
Time=0.001439, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466641927] 
Time=0.001439, Delay=0.000000, Op=WND, Kind=UPD, details=[466672566 466641927 466633173 452893865 0 262140 262140 39420 262140 0 466434749] 
Time=0.001440, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466644845] 
Time=0.001451, Delay=0.000003, Op=TX, Kind=SEG, details=[466672566 452893865] 
Time=0.001453, Delay=0.000002, Op=TX, Kind=SEG, details=[466674025 452893865] 
Time=0.001455, Delay=0.000001, Op=TX, Kind=SEG, details=[466675484 452893865] 
Time=0.001456, Delay=0.000000, Op=WND, Kind=UPD, details=[466676943 466644845 466644845 452893865 0 262140 262140 40880 262140 0 466434749] 
Time=0.001460, Delay=0.000003, Op=TX, Kind=SEG, details=[466676943 452893865] 
Time=0.001463, Delay=0.000002, Op=TX, Kind=SEG, details=[466678402 452893865] 
Time=0.001465, Delay=0.000002, Op=TX, Kind=SEG, details=[466679861 452893865] 
Time=0.001467, Delay=0.000001, Op=TX, Kind=SEG, details=[466681320 452893865] 
Time=0.001470, Delay=0.000002, Op=TX, Kind=SEG, details=[466682779 452893865] 
Time=0.001473, Delay=0.000002, Op=TX, Kind=SEG, details=[466684238 452893865] 
