Connecting to console on VM mirageIperfServer. Press Ctrl + ']' to quit.
Server is using interface 0 with IP address 192.168.8.101
Setting up iperf server listening at port 5001 
Done setting up server 
ARP: updating 192.168.8.102 -> a6:38:2d:35:dd:1b
ARP responding to: who-has 192.168.8.101?
Iperf server: Received connection from 192.168.8.102:18048.
Iperf server: t = 71.543270, rate = 1118 KBits/s, totbytes = 10000000, live_words = 492697
Time=0.000798, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466485814 0 262140 262140 4380 23360 0 452893864] 
Time=0.000801, Delay=0.000012, Op=TX, Kind=SEG, details=[452893865 466487273] 
Time=0.000816, Delay=0.000015, Op=TX, Kind=SEG, details=[452893865 466487273] 
Time=0.000842, Delay=0.000000, Op=RX, Kind=SEG, details=[466487273 452893865] 
Time=0.000843, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466487273 0 262140 262140 4380 23360 0 452893864] 
Time=0.000844, Delay=0.000000, Op=RX, Kind=SEG, details=[466488732 452893865] 
Time=0.000844, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466487273 0 262140 262140 4380 23360 0 452893864] 
Time=0.000844, Delay=0.000000, Op=RX, Kind=SEG, details=[466490191 452893865] 
Time=0.000845, Delay=0.000000, Op=RX, Kind=SEG, details=[466491650 452893865] 
Time=0.000847, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466493109 0 262140 262140 4380 23360 0 452893864] 
Time=0.000852, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466493109 0 262140 262140 4380 23360 0 452893864] 
Time=0.000863, Delay=0.000000, Op=RX, Kind=SEG, details=[466493109 452893865] 
Time=0.000864, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466493109 0 262140 262140 4380 23360 0 452893864] 
Time=0.000864, Delay=0.000000, Op=RX, Kind=SEG, details=[466494568 452893865] 
Time=0.000865, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466493109 0 262140 262140 4380 23360 0 452893864] 
Time=0.000865, Delay=0.000000, Op=RX, Kind=SEG, details=[466496027 452893865] 
Time=0.000866, Delay=0.000018, Op=TX, Kind=SEG, details=[452893865 466493109] 
Time=0.000868, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466497486 0 262140 262140 4380 23360 0 452893864] 
Time=0.000876, Delay=0.000000, Op=RX, Kind=SEG, details=[466497486 452893865] 
Time=0.000877, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466497486 0 262140 262140 4380 23360 0 452893864] 
Time=0.000877, Delay=0.000000, Op=RX, Kind=SEG, details=[466498945 452893865] 
Time=0.000878, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466497486 0 262140 262140 4380 23360 0 452893864] 
Time=0.000878, Delay=0.000000, Op=RX, Kind=SEG, details=[466500404 452893865] 
Time=0.000879, Delay=0.000000, Op=RX, Kind=SEG, details=[466501863 452893865] 
Time=0.000881, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466503322 0 262140 262140 4380 23360 0 452893864] 
Time=0.000882, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466503322 0 262140 262140 4380 23360 0 452893864] 
Time=0.000885, Delay=0.000017, Op=TX, Kind=SEG, details=[452893865 466503322] 
Time=0.000897, Delay=0.000012, Op=TX, Kind=SEG, details=[452893865 466503322] 
Time=0.000903, Delay=0.000000, Op=RX, Kind=SEG, details=[466503322 452893865] 
Time=0.000903, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466503322 0 262140 262140 4380 23360 0 452893864] 
Time=0.000907, Delay=0.000000, Op=RX, Kind=SEG, details=[466504781 452893865] 
Time=0.000907, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466504781 0 262140 262140 4380 23360 0 452893864] 
Time=0.000908, Delay=0.000000, Op=RX, Kind=SEG, details=[466506240 452893865] 
Time=0.000908, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466504781 0 262140 262140 4380 23360 0 452893864] 
Time=0.000917, Delay=0.000000, Op=RX, Kind=SEG, details=[466507699 452893865] 
Time=0.000918, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466507699 0 262140 262140 4380 23360 0 452893864] 
Time=0.000918, Delay=0.000000, Op=RX, Kind=SEG, details=[466509158 452893865] 
Time=0.000919, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466507699 0 262140 262140 4380 23360 0 452893864] 
Time=0.000919, Delay=0.000009, Op=TX, Kind=SEG, details=[452893865 466507699] 
Time=0.000928, Delay=0.000000, Op=RX, Kind=SEG, details=[466510617 452893865] 
Time=0.000929, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466510617 0 262140 262140 4380 23360 0 452893864] 
Time=0.000930, Delay=0.000000, Op=RX, Kind=SEG, details=[466512076 452893865] 
Time=0.000930, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466510617 0 262140 262140 4380 23360 0 452893864] 
Time=0.000930, Delay=0.000000, Op=RX, Kind=SEG, details=[466513535 452893865] 
Time=0.000931, Delay=0.000000, Op=RX, Kind=SEG, details=[466514994 452893865] 
Time=0.000932, Delay=0.000011, Op=TX, Kind=SEG, details=[452893865 466510617] 
Time=0.000934, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466516453 0 262140 262140 4380 23360 0 452893864] 
Time=0.000937, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466516453 0 262140 262140 4380 23360 0 452893864] 
Time=0.000941, Delay=0.000000, Op=RX, Kind=SEG, details=[466516453 452893865] 
Time=0.000942, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466516453 0 262140 262140 4380 23360 0 452893864] 
Time=0.000943, Delay=0.000000, Op=RX, Kind=SEG, details=[466517912 452893865] 
Time=0.000943, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466516453 0 262140 262140 4380 23360 0 452893864] 
Time=0.000944, Delay=0.000010, Op=TX, Kind=SEG, details=[452893865 466516453] 
Time=0.000951, Delay=0.000000, Op=RX, Kind=SEG, details=[466519371 452893865] 
Time=0.000952, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466519371 0 262140 262140 4380 23360 0 452893864] 
Time=0.000953, Delay=0.000000, Op=RX, Kind=SEG, details=[466520830 452893865] 
Time=0.000953, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466519371 0 262140 262140 4380 23360 0 452893864] 
Time=0.000953, Delay=0.000000, Op=RX, Kind=SEG, details=[466522289 452893865] 
Time=0.000954, Delay=0.000009, Op=TX, Kind=SEG, details=[452893865 466519371] 
Time=0.000956, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466523748 0 262140 262140 4380 23360 0 452893864] 
Time=0.000963, Delay=0.000000, Op=RX, Kind=SEG, details=[466523748 452893865] 
Time=0.000963, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466523748 0 262140 262140 4380 23360 0 452893864] 
Time=0.000964, Delay=0.000000, Op=RX, Kind=SEG, details=[466525207 452893865] 
Time=0.000964, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466523748 0 262140 262140 4380 23360 0 452893864] 
Time=0.000965, Delay=0.000009, Op=TX, Kind=SEG, details=[452893865 466523748] 
Time=0.000975, Delay=0.000000, Op=RX, Kind=SEG, details=[466526666 452893865] 
Time=0.000975, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466526666 0 262140 262140 4380 23360 0 452893864] 
Time=0.000976, Delay=0.000000, Op=RX, Kind=SEG, details=[466528125 452893865] 
